序号,接口表名,数据类别,id,biz_unique_id,product_name,product_intro,detail_desc,detail_desc_plain,industry,field,use_limit_desc,use_limit_desc_plain,product_keywords,data_update_frequency,product_example,data_url,del_status,create_time,update_time,valid_status,visit_count,favorited,来源接口
64,HIGH_QUALITY_DATASET,数字资源-高质量数据集,301,PD2023122522590416,2021年4季度~2023年3季度电子通讯招标信息,2021年4季度~2023年3季度电子通讯招标信息,<p>数据集包括：2021年10月至2023年9月共计24个月的电子通讯招标信息，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2021年10月至2023年9月共计24个月的电子通讯招标信息，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1104,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
65,HIGH_QUALITY_DATASET,数字资源-高质量数据集,300,PD2023122523047000,2021年4季度~2023年3季度房地产业招标信息,2021年4季度~2023年3季度房地产业招标信息,<p>数据集包括：2021年10月至2023年9月共计24个月的房地产招标信息，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2021年10月至2023年9月共计24个月的房地产招标信息，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1105,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
66,HIGH_QUALITY_DATASET,数字资源-高质量数据集,299,PD2023122613050702,报告,报告,<p>数据集包括：全部行业的行业报告信息，所有信息均已完成数据结构化，包含报告类型、报告摘要、报告内容等详细内容</p>,数据集包括：全部行业的行业报告信息，所有信息均已完成数据结构化，包含报告类型、报告摘要、报告内容等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业报告,行业报告",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1120,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
67,HIGH_QUALITY_DATASET,数字资源-高质量数据集,298,PD2023122614211214,根据机械设备分类查公司,根据机械设备分类查公司,<p>数据集包括：机械设备行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：机械设备行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1121,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
68,HIGH_QUALITY_DATASET,数字资源-高质量数据集,297,PD2023122614234984,根据五金工具分类查公司,根据五金工具分类查公司,<p>数据集包括：五金工具行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：五金工具行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1122,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
69,HIGH_QUALITY_DATASET,数字资源-高质量数据集,296,PD2023122614254870,根据交通运输分类查公司,根据交通运输分类查公司,<p>数据集包括：交通运输行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：交通运输行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1123,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
70,HIGH_QUALITY_DATASET,数字资源-高质量数据集,295,PD2023122614277546,根据仪器仪表分类查公司,根据仪器仪表分类查公司,<p>数据集包括：仪器仪表行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：仪器仪表行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1124,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
71,HIGH_QUALITY_DATASET,数字资源-高质量数据集,294,PD2023122614366541,根据石油化工分类查公司,根据石油化工分类查公司,<p>数据集包括：石油化工行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：石油化工行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1125,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
72,HIGH_QUALITY_DATASET,数字资源-高质量数据集,293,PD2023122614388747,根据电工电气分类查公司,根据电工电气分类查公司,<p>数据集包括：电工电气行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：电工电气行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1126,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
73,HIGH_QUALITY_DATASET,数字资源-高质量数据集,292,PD2023122614532521,根据电子元件分类查公司,根据电子元件分类查公司,<p>数据集包括：电子元件行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：电子元件行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1127,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
74,HIGH_QUALITY_DATASET,数字资源-高质量数据集,291,PD2023122615000593,根据轻纺消费分类查公司,根据轻纺消费分类查公司,<p>数据集包括：轻纺消费行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：轻纺消费行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1128,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
75,HIGH_QUALITY_DATASET,数字资源-高质量数据集,290,PD2023122615152607,2021年4季度~2023年3季度服装纺织招标信息,2021年4季度~2023年3季度服装纺织招标信息,<p>数据集包括：2021年10月至2023年9月共计24个月的服装纺织招标信息，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据</p>,数据集包括：2021年10月至2023年9月共计24个月的服装纺织招标信息，所有信息均已完成数据结构化，包含招标方、招标时间、招标编号、招标地区、招标产品等详细数据,信息传输、软件和信息技术服务业,未知领域,,,"标讯,标讯",未知,bid_number|招标编号|varchar|招标编号|0; title|标题|varchar|标题|1; publish_date|发布日期|date|发布日期|2; province_id|省市县|char|省市县|3; product_name|产品名称|text|产品名称|4; budget_price|招标预算|decimal|招标预算|5; owner_company|业主单位|varchar|业主单位|6; owner_address|业主单位地址|varchar|业主单位地址|7; agent_company|代理单位|varchar|代理单位|8; agent_address|代理单位地址|varchar|代理单位地址|9,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1129,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
76,HIGH_QUALITY_DATASET,数字资源-高质量数据集,289,PD2023122615164490,根据安防分类查公司,根据安防分类查公司,<p>数据集包括：安防行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：安防行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1130,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
77,HIGH_QUALITY_DATASET,数字资源-高质量数据集,288,PD2023122615176804,根据广电设备分类查公司,根据广电设备分类查公司,<p>数据集包括：广电设备行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：广电设备行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1131,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
78,HIGH_QUALITY_DATASET,数字资源-高质量数据集,287,PD2023122615195078,根据工程建材分类查公司,根据工程建材分类查公司,<p>数据集包括：工程建材行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：工程建材行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1132,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
79,HIGH_QUALITY_DATASET,数字资源-高质量数据集,286,PD2023122615243305,根据IT数码分类查公司,根据IT数码分类查公司,<p>数据集包括：IT数码行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：IT数码行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1133,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
80,HIGH_QUALITY_DATASET,数字资源-高质量数据集,285,PD2023122615262503,根据包装印刷分类查公司,根据包装印刷分类查公司,<p>数据集包括：包装印刷行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：包装印刷行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1134,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
81,HIGH_QUALITY_DATASET,数字资源-高质量数据集,284,PD2023122615272058,根据钢铁有色分类查公司,根据钢铁有色分类查公司,<p>数据集包括：钢铁有色行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：钢铁有色行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1135,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
82,HIGH_QUALITY_DATASET,数字资源-高质量数据集,283,PD2023122615292362,根据电力煤炭分类查公司,根据电力煤炭分类查公司,<p>数据集包括：电力煤炭行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：电力煤炭行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1136,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
83,HIGH_QUALITY_DATASET,数字资源-高质量数据集,282,PD2023122615303429,根据节能环保分类查公司,根据节能环保分类查公司,<p>数据集包括：节能环保行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：节能环保行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1137,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
84,HIGH_QUALITY_DATASET,数字资源-高质量数据集,281,PD2023122615310750,根据医疗器械分类查公司,根据医疗器械分类查公司,<p>数据集包括：医疗器械行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：医疗器械行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1138,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
85,HIGH_QUALITY_DATASET,数字资源-高质量数据集,280,PD2023122615325230,根据服装鞋帽分类查公司,根据服装鞋帽分类查公司,<p>数据集包括：服装鞋帽行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：服装鞋帽行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1139,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
86,HIGH_QUALITY_DATASET,数字资源-高质量数据集,279,PD2023122615352215,根据汽配维修分类查公司,根据汽配维修分类查公司,<p>数据集包括：汽配维修行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：汽配维修行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1140,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
87,HIGH_QUALITY_DATASET,数字资源-高质量数据集,278,PD2023122615406876,根据文化艺术分类查公司,根据文化艺术分类查公司,<p>数据集包括：文化艺术行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：文化艺术行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1141,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
88,HIGH_QUALITY_DATASET,数字资源-高质量数据集,277,PD2023122615422377,根据家居酒店分类查公司,根据家居酒店分类查公司,<p>数据集包括：家居酒店行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：家居酒店行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1142,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
89,HIGH_QUALITY_DATASET,数字资源-高质量数据集,276,PD2023122615438815,根据体育用品分类查公司,根据体育用品分类查公司,<p>数据集包括：体育用品行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：体育用品行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1143,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
90,HIGH_QUALITY_DATASET,数字资源-高质量数据集,275,PD2023122615450534,根据家电影音分类查公司,根据家电影音分类查公司,<p>数据集包括：家电影音行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容</p>,数据集包括：家电影音行业的公司信息，所有信息均已完成数据结构化，包含企业基本工商信息、企业联系方式、企业地址信息、企业联系人信息、企业详细介绍等详细内容,信息传输、软件和信息技术服务业,未知领域,,,"行业公司,行业公司",未知,title|标题|varchar|/|0; icon|图标|text|/|1; keyword|关键词|varchar|/|2; description|简介|varchar|/|3; publishTime|发布时间|timestamp|/|4; updateTime|更新时间|timestamp|/|5; industryKeyword|行业关键词|varchar|/|6; fax|联系人传真|varchar|/|7,https://mall.bjidex.com/transaction-management/data-product-details?productId=bss_1144,0,2026-06-08 12:01:56,2026-06-08 12:01:56,0,0,false,https://dibj.cn/portal/api/common/calling/page?tableCode=HIGH_QUALITY_DATASET
